Latitude,Longitude,Address,Weekly Temperature
12.9716,77.5946,"St. Joseph's Indian High School, Vittal Mallya Road, D'Souza Layout, Richmond Town, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",25.3
12.830193899198623,77.72661619196448,"Muttanalluru, Anekal, Bengaluru Urban, Karnataka, 560099, India",25.6
12.995088452605726,77.31912112657756,"ಮುಮ್ಮೇನಹಳ್ಳಿ, Motaganahalli, Magadi taluku, Ramanagara, Karnataka, 562120, India",23.4
13.173639843733003,77.86348589986794,"Channigalapura, Bhavapura, Hosakote taluk, Bengaluru Rural, Karnataka, 562122, India",25.3
12.593914645472369,77.5267983994713,"Devarahalli, Harohalli taluk, Ramanagara, Karnataka, 562121, India",23.0
13.33310293284718,77.35935350145041,"Kadatippuru, Doddaballapura taluk, Bengaluru Rural, Karnataka, 561204, India",23.1
12.84962598899187,78.0569777689576,"Kotigutlahalli, Shoolagiri, Krishnagiri, Tamil Nadu, 635105, India",22.9
12.736942213333949,77.13618176309892,"Kelagere, Channapattana taluk, Ramanagara, Karnataka, 562108, India",23.5
13.481159799432827,77.78413144924464,"Rayappanahalli, Dibburu, Chikkaballapura taluk, Chikkaballapura, Karnataka, 562101, India",22.5
12.440035965482956,77.81859603373351,"Denkanikottai, Krishnagiri, Tamil Nadu, India",19.9
13.227249630089945,77.0336671122433,"ಗೊಲ್ಲರಹಳ್ಳಿ, Nagenahalli, Tumkur taluk, Tumakuru, Karnataka, 572118, India",23.9
13.162096106057255,78.21352311016554,"Karahalli, Iragasandra, Kolar taluk, Kolar, Karnataka, 563103, India",23.5
12.396124812460657,77.25671709340322,"Basavanahalli, Malavalli taluk, Mandya, Karnataka, India",23.4
13.646508351784874,77.44160079067692,"Kundihalli, Gauribidanuru taluk, Chikkaballapura, Karnataka, 561210, India",24.9
12.559395019441737,78.19288765014443,"Krishnagiri, Tamil Nadu, 635002, India",24.3
12.873586012032874,76.84412981708854,"Haradanahalli, Nagamangala taluk, Mandya, Karnataka, India",24.0
13.558644778123524,78.09850748725624,"Brahmanahalli, Chintamani taluk, Chikkaballapura, Karnataka, 563125, India",24.8
12.181726621926316,77.62965511075535,"Hanur taluk, Chamarajanagar, Karnataka, India",23.3
13.54616109912343,77.00667444577132,"Saluparahalli, Sira taluk, Tumakuru, Karnataka, India",24.2
12.933751129462928,78.44590791743995,"Burugamakanapalli, Yellagarani, Ramakuppam, Chittoor, Andhra Pradesh, India",24.1
12.419533216476307,76.92623410887283,"Chikkamulagudu, Malavalli taluk, Mandya, Karnataka, 571424, India",23.1
13.842728760920082,77.71196616601684,"Chilamatturu Lepakshi Hindupur Road, Maruvakottapalli, Chilamathur, Sri Sathya Sai, Andhra Pradesh, 515341, India",25.1
12.23432958075854,78.11909061827255,"Palakkodu, Dharmapuri, Tamil Nadu, India",23.0
13.16901584493279,76.67842395274374,"Turuvekere, Turuvekere taluk, Tumakuru, Karnataka, 572227, India",24.0
13.439937831057946,78.42569023837649,"MDR, Piguvapalle, Ajjamreddipalle, Ramasamudram, Annamayya, Andhra Pradesh, India",23.6
12.057037193473214,77.30167738157328,"Mahalinganakatte, Hanur taluk, Chamarajanagar, Karnataka, India",22.0
13.85734390036454,77.17173931503177,"Gollarahatti, Madhugiri taluk, Tumakuru, Karnataka, 572133, India",23.7
12.588632145130408,78.53179274144769,"Tirupathur, Tirupattur, Tamil Nadu, 635852, India",26.3
12.622771216575488,76.62374440090495,"Hosahalli, Pandavapura taluk, Mandya, Karnataka, 571101, India",22.4
13.887026663784216,78.08260142154623,"Dodemvaripalle, Maddemmagudipalle, Amadagur, Sri Sathya Sai, Andhra Pradesh, India",26.5
11.956953900332808,77.87067901957286,"Pennagaram, Dharmapuri, Tamil Nadu, India",24.4
13.54356789960182,76.67434738066298,"Timmanahalli, Chikkanayakanahalli taluk, Tumakuru, Karnataka, India",24.0
13.157662199581639,78.6846349894893,"Kolladu, Gollapalle, Palamaner, Chittoor, Andhra Pradesh, 517432, India",25.2
12.09680751408952,76.91318571220869,"Linganapura, Chamarajanagara taluk, Chamarajanagar, Karnataka, 571316, India",22.7
14.085354284559692,77.49478060460376,"Peddipalli, Roddam, Sri Sathya Sai, Andhra Pradesh, India",25.9
12.203821942936157,78.44485597871964,"Uthangarai, Krishnagiri, Tamil Nadu, India",25.6
12.968956323752451,76.42149629393877,"SH147, Jamburu Amanikere, Channarayapattana taluk, Hassan, Karnataka, India",23.8
13.758047136977297,78.47425960721517,"Merikelavandlapalle, Thamballapalle, Annamayya, Andhra Pradesh, India",26.7
11.794007541487671,77.4900320972207,"Anthiyur, Erode, Tamil Nadu, India",21.8
13.920490515169917,76.84839642162622,"Bevinahalli, Sira taluk, Tumakuru, Karnataka, India",25.5
12.758179438556892,78.81135511473116,"Pākkam, Vellore, Tamil Nadu, India",26.3
12.309791515031863,76.54146747734343,"Bommanahalli, Mysuru taluk, Mysuru, Karnataka, 571130, India",23.2
14.1716596590796,77.92417914063412,"Nallamada, Sri Sathya Sai, Andhra Pradesh, 515501, India",28.0
11.855592181623388,78.18405541365841,"Yercaud, Salem, Tamil Nadu, 636354, India",24.5
